Hr76,,Hr84,
X,Y,X,Y
-0.7858546058687503,0.018391148325358486,-0.9838931172028771,0.00615554976550281
-0.6963303473204465,0.039213131839499704,-0.7736467524303452,-0.00328947368421062
-0.6149446577310795,0.07961684326327356,-0.6373257223681554,-0.00328947368421062
-0.5498361060595858,0.13298872180451093,-0.47891429084599446,0.012901995086726625
-0.5010046923059654,0.18749999999999978,-0.3893900322976904,0.032129364252214465
-0.46031184751128196,0.24369788952579463,-0.33172245796008193,0.07825256209831499
-0.42368828719606677,0.30485441636268873,-0.2832979726544087,0.14605995961438234
-0.3911340113603199,0.3650664408546116,-0.25549119537804144,0.2035827760407618
-0.3626490200040413,0.4201624109779398,-0.22545600041053726,0.28377177473386417
-0.3382333131272315,0.4666004429390307,-0.20394692530477565,0.35857298723293374
-0.31178296401068684,0.5250415255341323,-0.18360050290743368,0.42409783741532037
-0.28940189937361094,0.5791536390481153,-0.16732336498956046,0.49405004233976024
-0.2649861924968011,0.6342496091714434,-0.14087301587301626,0.5380284327774882
-0.24057048561999084,0.6885584940072954,-0.1388383736332819,0.6094564226159458
-0.21615477874318056,0.739719037693243,-0.11849195123593992,0.68478048462741
-0.187669787386902,0.8024890893694632,-0.1022148133180667,0.7611671117769672
-0.1551155115511551,0.8591592300677435,-0.08593767540019348,0.8196081943720688
-0.11849195123593992,0.9171280614903595,-0.06966053748231982,0.875688021104742
-0.06559125300285151,0.9751559243095362,-0.04873278873076847,0.9325549331248913
0.011725152107047165,0.9919798723293382,-0.0066427561123467704,0.9979725768629497
0.08090298825800923,0.9518385226680562,0.07547727561871787,0.8928071261073476
0.12159583305269273,0.8987102657634184,0.09311084169641415,0.8207888223032829
0.1500808244089713,0.8499109779398991,0.10396226697499644,0.7704153639048116
0.17856581576524988,0.7954053217821782,0.12566511753216103,0.7003647733194371
0.20705080712152846,0.739719037693243,0.13651654281074332,0.6311012680215389
0.23146651399833829,0.679113470557582,0.1541501088884396,0.5681344450234496
0.26402078983408517,0.611424135834636,0.17798448941104006,0.5006699918112112
0.28843649671089544,0.5539669098488795,0.20705080712152846,0.3513711568525273
0.3128522035877057,0.5051676220253603,0.23146651399833829,0.28195023449713363
0.3352332682247816,0.45007165190203224,0.24367436743674364,0.22693297290255332
0.3657529018207941,0.3928111972381447,0.26890393120944767,0.16845253604307797
0.398307177656541,0.33259917274622186,0.30064435014930035,0.11575717604655189
0.4308614534922879,0.27297746221990615,0.35218862022256614,0.05259358172659345
0.46748501380750307,0.21866857738405399,0.447590734130102,0.010878061490359414
0.5122471430816549,0.16317906461698795,0.5081778586021866,0.010878061490359414
0.569217125794212,0.10827986581552884,0.6465335309041107,-0.00328947368421062
0.6465335309041107,0.05831783836278359,0.7441963584113513,-0.00328947368421062
0.7360577894524143,0.025904235160358002,0.994457353898655,0.0002524101094318887
0.8093049100828447,0.014925928683093614,1.1104319615635032,-0.00328947368421062
,,1.1999562201118068,-0.00328947368421062
,,1.2894804786601108,-0.00328947368421062
,,1.3790047372084144,-0.00328947368421062
,,1.4614077479176486,-0.0024040027358001037
,,1.5661918232639587,-0.00328947368421062
,,1.6557160818122627,-0.00328947368421062
,,1.736084450281763,-0.0021088457529965243
,,0.19217687074829914,0.43256578947368407
,,0.04336734693877542,0.953125
