0.25 slice thickness,,0.5 slice thickness,
X,Y,X,Y
0.011413591449888905,-0.002019260639950282,0.015164347650735821,0.016504129934256984
0.05267190965920532,-0.0004986838017690953,0.05642266586005218,0.01913058083656982
0.09393022786852168,0.00005425323029673024,0.09768098406936865,0.020374689158718207
0.13518854607783803,0.0010218930364120915,0.138939302278685,0.022033500254915905
0.1764468642871545,0.0010218930364120915,0.18019762048800148,0.023001140061031267
0.21770518249647086,0.0015748300684781391,0.22145593869731783,0.02438348264119594
0.25896350070578733,0.0036483439387251515,0.2627142569066342,0.025627590963344105
0.3002218189151037,0.0037865781967416634,0.30397257511595066,0.02687169928549249
0.34148013712442005,0.004063046712774465,0.345230893325267,0.02687169928549249
0.3827384553337365,0.004063046712774465,0.3864892115345835,0.026733465027475978
0.4239967735430529,0.005583623550955652,0.42774752974389985,0.023692311351113604
0.46525509175236934,0.006754006935495216,0.4690058479532162,0.02175703173888288
0.5065134099616857,0.009500260861422305,0.5046380318612622,0.021359608247085493
0.5477717281710021,0.013324741999878098,0.6152853397862471,0.027701104833591117
0.5890300463803185,0.014707084580042773,0.6565436579955636,0.04124806211920551
0.630288364589635,0.014707084580042773,0.6978019762048798,0.0564538305010176
0.6715466827989512,0.014845318838059285,0.7390602944141963,0.0688949137224999
0.7128050010082677,0.01705706696632281,0.7803186126235128,0.0795389515897682
0.7540633192175842,0.02327760857706407,0.8140754184311353,0.1061589201335118
0.7953216374269004,0.034474583476398424,0.8408665341514706,0.14569391792622288
0.8365799556362169,0.051753865728457527,0.8637729380923572,0.18235068098951945
0.8778382738455334,0.07801837475158702,0.8834644081468036,0.21557528490377864
0.9190965920548496,0.10829167725719446,0.9007595617395979,0.2500585885340878
0.9584795321637426,0.13969850067853717,0.9172212139544261,0.2870804107192493
0.9922363379713651,0.17151657101747841,0.9336828661692546,0.32659428938920776
1.0114589635007056,0.20686998250519117,0.9474951747184052,0.363353631048731
1.024117765678564,0.24963620607903736,0.9636889157760301,0.39958197762190495
1.035370034281105,0.2946621757874026,0.9775012243251807,0.43416906665545507
1.0452157693083284,0.3368793021696832,0.9941117160717886,0.47087253315020994
1.0578745714861868,0.37797289122153,1.0128654970760231,0.5025081342685698
1.0669835508311007,0.4204838751118244,1.0297438999798345,0.5408266705907359
1.0871304698527928,0.4980284666310075,1.0541238152853398,0.5731932347177356
1.0772534785238959,0.4539003613413777,1.079753982657794,0.608492339889799
1.1014771123210325,0.5509004921436863,1.099549640384486,0.6394952120904934
1.112885662431942,0.5926952360709166,1.1160112925993144,0.6755877928745442
1.1241379310344826,0.6349334815759499,1.1263258721516434,0.7073298343715766
1.1353901996370235,0.6803818337393654,1.1366404517039723,0.7466114026912575
1.1478927203065132,0.7270973332679321,1.192901794716677,0.8603153970667583
1.1598951401492235,0.773931099883913,1.2116555757209113,0.8918626949479943
1.170866102036701,0.8147205735681234,1.2397862472272636,0.9245822501267147
1.181649526114136,0.8546737299913343,1.2716676749344624,0.9578026302164233
1.19075850545905,0.8966416507251352,1.309591987631915,0.9877073080339868
1.20752974389998,0.9387616291427543,1.3504335551522484,0.996999722045094
1.245412381528534,0.9676940593456019,1.3916918733615646,0.9916546640684571
1.2866706997378503,0.989411648667547,1.4273240572696109,0.9671584015957881
1.3177483939734391,0.9701072345355466,1.4535793506755392,0.9341492127336047
1.3283978624722725,0.9380773695655729,1.476083887880621,0.900189663347558
