HR mode,,NR mode,
X,Y,X,Y
0.43325958702065037,1.0006028022157054,0.43325958702065037,1.0143043336591724
1.609513274336285,1.0012327576843705,1.2887168141592937,1.054778972520908
2.7857669616519196,0.9952481807320516,1.7699115044247815,1.0928912783751494
3.9620206489675525,0.9856413598349081,2.197640117994103,1.1379330943847072
5.138274336283189,0.9736722059302704,2.6788348082595874,1.1738638877826453
6.314528023598822,0.9634354295644617,3.085176991150444,1.212078853046595
7.4907817109144545,0.947686542847833,3.427359882005902,1.2540023894862604
8.667035398230091,0.9268980123818833,3.855088495575224,1.2941935483870968
10.271017699115045,0.8980775496904528,4.550147492625371,1.3334752090800477
11.447271386430682,0.8714619311393504,5.5660029498525105,1.3514879982621917
12.623525073746315,0.8439013793852502,6.421460176991154,1.3229510155316606
13.799778761061948,0.8149234278266535,6.956120943952804,1.2886499402628435
14.976032448377584,0.787205387205387,7.383849557522126,1.2516925527678215
16.152286135693217,0.7546051917019658,7.677912979351035,1.2093936678614097
17.32853982300885,0.7207450852612141,7.971976401179944,1.1587216248506569
18.504793510324486,0.6845226458129683,8.292772861356934,1.1168558343289525
19.627581120943955,0.6474970131421742,8.613569321533927,1.0666168857029072
20.750368731563423,0.6133376778538067,8.902286135693217,1.020131421744325
21.92662241887906,0.5764852829368956,9.13040806293019,0.975089605734767
23.049410029498528,0.5397431302270013,9.400284450063214,0.9241082095920804
24.172197640117997,0.5021505376344084,9.682890855457227,0.8772102747909198
25.348451327433626,0.46435320951449954,9.950221238938056,0.8292619142439932
26.4712389380531,0.4299103942652327,10.164085545722717,0.7893787335722818
27.59402654867257,0.39616053003149765,10.404682890855458,0.7420848267622461
28.7702802359882,0.3582057130444225,10.591814159292039,0.7098626045400238
29.946533923303836,0.3227707179320083,10.8056784660767,0.670768618080446
31.122787610619472,0.2895405669599216,10.966076696165192,0.627747909199522
32.299041297935105,0.25930270446399484,11.233407079646021,0.5837166467542811
33.47529498525074,0.22843488649940258,11.500737463126846,0.5402628434886498
34.65154867256638,0.19788204626914285,11.768067846607671,0.49262246117084807
35.827802359882,0.1701640056478766,11.981932153392332,0.4513341298287532
37.004056047197636,0.14354838709677398,12.195796460176993,0.4103345280764634
38.18030973451327,0.11976756815466483,12.516592920353983,0.36587017124651533
39.35656342182891,0.09960899315738003,12.783923303834811,0.3263142174432496
40.532817109144545,0.07882046269143017,13.051253687315636,0.29010752688172037
41.70907079646018,0.06133919843597235,13.372050147492626,0.24445937873357204
42.88532448377582,0.04748017812533911,13.746312684365783,0.1972520908004778
44.06157817109144,0.03409362441620489,14.200774336283189,0.15177718040621246
45.23783185840708,0.02338438144889743,14.922566371681416,0.11063321385902025
46.41408554572271,0.014565004887585387,15.831489675516227,0.07236341913761257
47.59033923303835,0.01188769414575841,17.00774336283186,0.048897577929835956
48.766592920353986,0.01188769414575841,18.183997050147493,0.03976322363419138
49.83591445427729,0.011310234966148691,19.36025073746313,0.02873900293255116
,,20.536504424778766,0.02086455957423672
,,21.712758112094395,0.01645487129358081
,,22.407817109144542,0.005824372759856367
