100mAs/120kV,,400mAs/100kV,,400mAs/120kV,,400mAs/140kV,
X,Y,X,Y,X,Y,X,Y
0.5033557046979853,1.9205298013244985,0.6375838926174486,1.258278145695364,5.939597315436242,8.013245033112582,8.221476510067113,7.350993377483441
1.1073825503355694,3.509933774834437,1.0738255033557031,1.7880794701986744,6.476510067114093,8.940397350993372,8.791946308724834,6.9536423841059545
1.6442953020134219,5.099337748344361,1.6107382550335556,2.1854304635761537,7.0134228187919465,9.867549668874162,9.36241610738255,6.158940397350989
2.147651006711408,6.9536423841059545,2.147651006711408,2.9801324503311193,7.583892617449665,10.132450331125824,9.865771812080537,4.569536423841058
2.617449664429529,9.205298013245027,2.6845637583892614,3.907284768211916,8.120805369127517,10.39735099337748,10.40268456375839,2.9801324503311193
3.221476510067114,12.384105960264897,3.221476510067114,4.966887417218537,8.691275167785236,9.602649006622514,10.87248322147651,1.9205298013244985
3.7583892617449663,15.56291390728476,3.7248322147651,6.423841059602644,9.228187919463087,8.410596026490062,11.409395973154362,1.1258278145695328
4.295302013422818,19.27152317880794,4.328859060402683,8.013245033112582,9.76510067114094,6.423841059602644,11.946308724832214,0.5960264900662153
4.899328859060402,23.245033112582774,4.899328859060402,9.735099337748338,10.335570469798657,4.304635761589402,12.550335570469802,0.3311258278145601
5.436241610738255,27.35099337748344,5.369127516778523,11.4569536423841,10.838926174496645,2.715231788079464,13.087248322147651,0.4635761589403913
5.973154362416107,31.19205298013245,5.939597315436242,13.178807947019862,11.342281879194632,1.6556291390728433,13.724832214765101,0.3311258278145601
6.442953020134228,34.503311258278146,6.476510067114093,14.503311258278138,11.879194630872483,0.5960264900662153,14.194630872483224,0.19867549668873608
7.046979865771812,37.41721854304635,6.979865771812081,15.695364238410598,12.483221476510067,0.3311258278145601,14.798657718120808,0.4635761589403913
7.617449664429531,39.80132450331125,7.550335570469798,16.490066225165556,13.02013422818792,0.19867549668873608,15.234899328859061,0.4635761589403913
8.154362416107382,40.59602649006622,8.120805369127517,16.887417218543042,13.59060402684564,0.06622516556290492,15.87248322147651,0.4635761589403913
8.724832214765101,38.21192052980132,8.65771812080537,15.827814569536422,14.127516778523493,0.06622516556290492,7.684563758389261,7.350993377483441
9.228187919463087,31.854304635761586,9.194630872483222,13.311258278145694,14.630872483221477,0.06622516556290492,7.181208053691275,7.086092715231786
9.731543624161073,24.834437086092713,9.731543624161073,10.264900662251655,15.201342281879196,0.19867549668873608,6.610738255033558,6.423841059602644
10.335570469798657,16.490066225165556,10.268456375838927,7.086092715231786,15.704697986577184,0.06622516556290492,6.040268456375838,5.7615894039735025
10.838926174496645,9.470198675496682,10.838926174496645,4.172185430463571,16.308724832214764,0.06622516556290492,5.503355704697986,5.099337748344361
11.409395973154362,5.099337748344361,11.375838926174497,2.317880794701985,5.40268456375839,7.086092715231786,4.966442953020135,4.4370860927152265
11.97986577181208,2.0529801324503225,11.845637583892618,1.258278145695364,4.865771812080537,6.026490066225158,4.496644295302014,3.642384105960261
12.516778523489933,1.1258278145695328,12.483221476510067,0.5960264900662153,4.362416107382549,5.099337748344361,3.8590604026845625,2.8476821192052952
13.02013422818792,0.7284768211920465,13.053691275167786,0.39735099337747215,3.7583892617449663,4.03973509933774,3.3557046979865763,2.450331125827809
13.624161073825505,0.5960264900662153,13.59060402684564,0.3311258278145601,3.221476510067114,3.3774834437086056,2.7852348993288576,1.9205298013244985
14.194630872483224,0.4635761589403913,14.161073825503358,0.3311258278145601,2.6845637583892614,2.715231788079464,2.248322147651006,1.390728476821188
14.697986577181208,0.5960264900662153,14.697986577181208,0.2649006622516481,2.147651006711408,2.1854304635761537,1.7114093959731536,1.1258278145695328
15.234899328859061,0.5960264900662153,15.16778523489933,0.2649006622516481,1.543624161073824,1.6556291390728433,1.2080536912751665,0.9933774834437088
15.771812080536915,0.5960264900662153,15.771812080536915,0.19867549668873608,1.0402684563758378,1.258278145695364,0.671140939597314,0.7284768211920465
16.375838926174495,0.5960264900662153,16.308724832214764,0.19867549668873608,0.5369127516778507,0.8609271523178847,,
16.946308724832218,0.4635761589403913,,,,,,
