NR mode, 512 matrix FBP,,HR mode, matrix FBP,
X,Y,X,Y
0.19016290726816987,1.575310755961441,0.36732456140350855,0.25253101794197796
0.22599902534112992,1.3252860927898977,0.8215852130325816,0.4404419640340489
0.162907268170426,1.1460949391171997,1.2531328320802002,0.6336567732115679
0.11748120300751808,0.9824856248943004,1.7073934837092741,0.8442415017757483
0.026629072681704002,0.7541222729578898,2.1389411027568928,1.033062743108406
0.026629072681704002,0.5518138001014723,2.593201754385965,1.2323059360730593
0.04934210526315752,0.3188525283274135,3.092888471177946,1.4270905401042384
0.019058061821219496,0.1196093353627603,3.592575187969925,1.5784039020340392
0.5399436090225569,1.7252029426686963,4.092261904761906,1.6929339052626728
0.6625939849624061,2.0645294266869607,4.591948621553885,1.7430930307642631
0.7852443609022552,2.337645865043126,5.104614214106696,1.7341360440675508
0.8760964912280693,2.6319127346524613,5.591322055137845,1.6770501821871688
0.9124373433583957,2.8998181971926265,6.091008771929826,1.5750599603339328
1.021459899749373,3.1487189244038554,6.590695488721805,1.4371223652045568
1.1032268170426063,3.413559107052258,7.090382205513786,1.274941192749412
1.2077067669172932,3.742770167427702,7.590068922305766,1.1018922097689234
1.3212719298245608,4.00025367833587,8.089755639097746,0.9313511830635122
1.3780545112781963,4.276128868594622,8.589442355889727,0.7666620543332883
1.5224445041174368,4.6413350728419225,9.089129072681704,0.6228725612287267
1.4575501253132837,4.42326230339929,9.588815789473685,0.4991467183248002
1.6165413533834583,4.942827245053272,10.088502506265666,0.38963262764632667
1.7119360902255645,5.168125317097919,10.588189223057647,0.30770605599372836
1.839129072681705,5.429287163876205,11.087875939849624,0.2349753240164194
1.9208959899749365,5.718036529680365,11.587562656641605,0.18230824223974906
2.0935150375939857,5.973680872653476,12.087249373433586,0.13298510216318427
2.2865758145363406,6.17966768138001,12.586936090225567,0.09954568516212348
2.593201754385965,6.3652564457358976,13.086622807017545,0.0761380932613811
2.9187552213868004,6.207255200405886,13.586309523809526,0.055238457635718774
3.111058897243109,5.97919837645865,14.085996240601506,0.04604261796042586
3.2064536340852134,5.781947615423643,14.585682957393487,0.03684677828513472
3.3578738512949053,5.546687383730763,15.085369674185465,0.0318308657349764
3.483552631578948,5.2656012176560125,15.585056390977446,0.02765093860984358
3.610745614035088,5.0062785388127855,15.925751879699252,0.02535197869102035
3.7061403508771944,4.7474156519533235,,
3.801535087719299,4.4876331811263315,,
3.9287280701754392,4.235667174023338,,
4.00140977443609,4.018645357686453,,
4.092261904761906,3.784151445966515,,
4.201284461152883,3.5496575342465757,,
4.273966165413534,3.3320226619313384,,
4.382988721804513,3.0898655504819885,,
4.478383458646618,2.8576705986808726,,
4.569235588972432,2.6599600456621006,,
4.664630325814538,2.446156773211568,,
4.796365914786969,2.181010062573989,,
4.93264411027569,1.9127980720446471,,
5.091635338345866,1.6675756807035347,,
5.239270050125314,1.4415112886859465,,
5.432330827067671,1.204718417047184,,
5.636748120300752,0.9637874175545402,,
5.863878446115289,0.7504439370877733,,
6.11372180451128,0.5548790799932366,,
6.454417293233084,0.349505327245053,,
6.9086779448621565,0.1856521839398546,,
7.408364661654137,0.09536575803699066,,
7.86262531328321,0.05626021759963962,,
