         6384841 function calls (6246808 primitive calls) in 1127.106 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18161    0.010    0.000    0.105    0.000 <__array_function__ internals>:2(concatenate)
    39847    0.026    0.000    0.101    0.000 {built-in method builtins.sorted}
    18000    0.051    0.000    0.101    0.000 shape_base.py:82(atleast_2d)
        1    0.000    0.000    0.100    0.100 __init__.py:82(<module>)
        6    0.000    0.000    0.098    0.016 __init__.py:7(<module>)
  195/173    0.000    0.000    0.098    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
  195/173    0.095    0.000    0.097    0.001 {built-in method _imp.create_dynamic}
     9246    0.035    0.000    0.094    0.000 inspect.py:2117(_signature_from_function)
        1    0.000    0.000    0.093    0.093 widgets.py:10(<module>)
        1    0.000    0.000    0.090    0.090 patches.py:3(<module>)
     4000    0.007    0.000    0.089    0.000 artist.py:1375(get_valid_values)
        1    0.000    0.000    0.088    0.088 charts.py:1(<module>)
   197914    0.085    0.000    0.085    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.084    0.084 rcsetup.py:14(<module>)
      434    0.001    0.000    0.083    0.000 sre_parse.py:913(parse)
     3961    0.018    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.082    0.082 _vtk.py:9(<module>)
 1352/434    0.004    0.000    0.081    0.000 sre_parse.py:411(_parse_sub)
 3989/457    0.028    0.000    0.080    0.000 sre_parse.py:469(_parse)
        1    0.000    0.000    0.080    0.080 axes3d.py:11(<module>)
       14    0.000    0.000    0.077    0.006 __init__.py:2006(_by_version_descending)
    17835    0.014    0.000    0.074    0.000 numeric.py:148(ones)
    17800    0.073    0.000    0.073    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.072    0.072 fontconfig_pattern.py:6(<module>)
        1    0.000    0.000    0.071    0.071 __init__.py:95(<module>)
        1    0.000    0.000    0.070    0.070 __init__.py:554(_build_master)
        1    0.000    0.000    0.070    0.070 __init__.py:541(__init__)
        1    0.000    0.000    0.070    0.070 __init__.py:69(<module>)
   114813    0.068    0.000    0.069    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.068    0.011 __init__.py:9(<module>)
        4    0.000    0.000    0.067    0.017 __init__.py:10(<module>)
1685/1665    0.005    0.000    0.066    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        2    0.000    0.000    0.065    0.032 builtins.py:1(<module>)
        1    0.000    0.000    0.063    0.063 debugger.py:1(<module>)
        1    0.000    0.000    0.063    0.063 __init__.py:108(<module>)
        1    0.000    0.000    0.063    0.063 _continuous_distns.py:6(<module>)
        1    0.000    0.000    0.063    0.063 completer.py:103(<module>)
        1    0.000    0.000    0.061    0.061 __init__.py:28(<module>)
        3    0.000    0.000    0.061    0.020 helpers.py:1(<module>)
        1    0.000    0.000    0.060    0.060 core.py:9(<module>)
        9    0.000    0.000    0.058    0.006 __init__.py:2(<module>)
        1    0.000    0.000    0.057    0.057 decorators.py:3(<module>)
35605/35604    0.043    0.000    0.057    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.057    0.057 stencil.py:6(<module>)
      442    0.000    0.000    0.056    0.000 __init__.py:3269(<genexpr>)
        2    0.000    0.000    0.056    0.028 __init__.py:41(<module>)
      104    0.001    0.000    0.056    0.001 _distn_infrastructure.py:1689(__init__)
      441    0.001    0.000    0.055    0.000 __init__.py:2774(activate)
   143066    0.027    0.000    0.055    0.000 _asarray.py:110(asanyarray)
       28    0.000    0.000    0.054    0.002 core.py:2856(__init__)
      434    0.000    0.000    0.054    0.000 sre_compile.py:598(_code)
895978/890040    0.051    0.000    0.052    0.000 {built-in method builtins.len}
      892    0.001    0.000    0.052    0.000 __init__.py:2021(_by_version)
     1680    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
1681/1680    0.003    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1599    0.003    0.000    0.051    0.000 functools.py:37(update_wrapper)
        2    0.000    0.000    0.049    0.025 __init__.py:64(<module>)
      892    0.001    0.000    0.049    0.000 __init__.py:2027(<listcomp>)
        1    0.000    0.000    0.049    0.049 classes.py:15(<module>)
     3690    0.002    0.000    0.048    0.000 version.py:48(parse)
        1    0.000    0.000    0.047    0.047 plotting.py:1(<module>)
        3    0.000    0.000    0.047    0.016 registry.py:1(<module>)
    13000    0.007    0.000    0.047    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.046    0.046 dispatcher.py:4(<module>)
        1    0.000    0.000    0.046    0.046 imports.py:10(<module>)
        1    0.000    0.000    0.046    0.046 helpers.py:2(<module>)
    35949    0.046    0.000    0.046    0.000 {built-in method numpy.empty}
 5507/434    0.016    0.000    0.045    0.000 sre_compile.py:71(_compile)
     1595    0.002    0.000    0.045    0.000 __init__.py:2185(_handle_ns)
      441    0.001    0.000    0.045    0.000 __init__.py:2288(fixup_namespace_packages)
        1    0.000    0.000    0.045    0.045 plotting.py:139(BasePlotter)
        1    0.000    0.000    0.045    0.045 compiler.py:1(<module>)
     1784    0.002    0.000    0.043    0.000 __init__.py:2118(distributions_from_metadata)
        1    0.000    0.000    0.043    0.043 art3d.py:8(<module>)
      127    0.000    0.000    0.041    0.000 docstring.py:36(__call__)
        1    0.000    0.000    0.041    0.041 geo.py:1(<module>)
  115/105    0.000    0.000    0.041    0.000 docstring.py:83(__call__)
        1    0.000    0.000    0.040    0.040 typeshed.py:1(<module>)
        1    0.000    0.000    0.040    0.040 stub_value.py:1(<module>)
       13    0.000    0.000    0.040    0.003 docstring.py:55(__missing__)
    17835    0.009    0.000    0.040    0.000 <__array_function__ internals>:2(copyto)
      373    0.015    0.000    0.039    0.000 doccer.py:10(docformat)
        1    0.000    0.000    0.038    0.038 legend.py:22(<module>)
    25409    0.021    0.000    0.038    0.000 inspect.py:2467(__init__)
      123    0.001    0.000    0.037    0.000 _distn_infrastructure.py:794(_construct_doc)
        1    0.000    0.000    0.037    0.037 typing.py:7(<module>)
        6    0.000    0.000    0.036    0.006 base.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _base.py:1(<module>)
        2    0.000    0.000    0.035    0.017 application.py:1(<module>)
